claim_id,value_as_cited,source_file,source_location,transformation,code_reference
hand_label_kappa,0.7674,data/processed/taxonomy_themes.json,validation.cohens_kappa,"Cohen's kappa, observed vs. chance agreement",src/taxonomy.py:cohens_kappa (line 162)
filter_churn_rate_weighted,46.8%,data/processed/wtp_proxy.json,category_weighted.replacement_filter_churn_rate,"installed-base-weighted mean(1 - oem_filter_repurchase_rate) across 9 SKUs, data/raw/aftermarket_signals.csv",src/willingness_to_pay.py:main (line 41)
third_party_attach_rate_weighted,38.6%,data/processed/wtp_proxy.json,category_weighted.third_party_filter_attach_rate,installed-base-weighted mean(third_party_filter_attach_rate),src/willingness_to_pay.py:main (line 41)
oem_revenue_at_risk_eur_m,64.98m EUR,data/processed/wtp_proxy.json,category_weighted.total_annual_oem_revenue_at_risk_eur_m,sum over 9 SKUs of installed_base x third_party_attach x oem_filter_price x filters_per_year,src/willingness_to_pay.py:main (line 41)
os1_financial_value_proxy_eur_m,97.32m EUR,data/processed/decision_framework.json,scores.OS-1.financial_value_proxy_eur_m,connected installed base x noise prevalence x (filter_cost revenue-at-risk / affected units) [assumption: equal EUR/unit across frictions],"src/decision_framework.py:financial_proxy (line 46), main (line 46)"
os2_prevalence,"0.0% (0 of 3,500 reviews)",data/processed/decision_framework.json,scores.OS-2.friction_prevalence_pct,"keyword search: voice, alexa, siri, google assistant, hey google, voice command",src/decision_framework.py:keyword_prevalence (line 41)
os3_prevalence,"0.0% (0 of 3,500 reviews)",data/processed/decision_framework.json,scores.OS-3.friction_prevalence_pct,"keyword search: outdoor air, outdoor aqi, outdoor pollution, outside air quality",src/decision_framework.py:keyword_prevalence (line 41)
euromonitor_cagr,5.8% CAGR (2025-2030),data/raw/market_metrics.json,sources[0].metric.value (source_id=euromonitor_2026_air_treatment),none - vendor figure as recorded,src/generate_market_metrics.py (synthetic fixture)
statista_cagr,11.2% CAGR (2025-2030),data/raw/market_metrics.json,sources[1].metric.value (source_id=statista_2026_smart_air_purifiers),none - vendor figure as recorded,src/generate_market_metrics.py (synthetic fixture)
cagr_spread_pp,5.4 pp,data/raw/market_metrics.json,conflict_summary.spread_pp,11.2 - 5.8,src/generate_market_metrics.py (synthetic fixture)
q5_recommended_planning_cagr,8.9% CAGR,data/raw/market_metrics.json,reconciliation.recommended_planning_basis.value,Euromonitor geography/price basis + Statista connectivity/aftermarket scope (derived bridge),"src/generate_market_metrics.py (synthetic fixture) - reconciliation is analytical judgement, not code output"
reviews_total,"3,500",data/raw/consumer_reviews.csv,row count,len(rows) after csv.DictReader,src/generate_reviews.py:main (line 171)
burst_duplicates_removed,300,data/processed/defect_detection_report.json,defects.a_burst_duplicate.detected,3 signatures (volume anomaly + duplicate text + promo register) intersected,src/detect_defects.py:detect_burst_duplicates (line 82)
connectivity_prevalence_pct,6.66%,data/processed/taxonomy_themes.json,themes.connectivity.friction_prevalence_pct,reviews with a negative-polarity sentence matching connectivity keywords / all reviews,"src/taxonomy.py:theme_hits (line 88), main (line 170)"
connectivity_csat_impact_full,-2.376,data/processed/taxonomy_themes.json,themes.connectivity.csat_impact,"mean(rating | connectivity theme, rating_trusted) - corpus mean(rating | rating_trusted)",src/taxonomy.py:main (line 170)
app_software_prevalence_pct,6.50%,data/processed/taxonomy_themes.json,themes.app_software.friction_prevalence_pct,reviews with a negative-polarity sentence matching app_software keywords / all reviews,"src/taxonomy.py:theme_hits (line 88), main (line 170)"
app_software_csat_impact_full,-2.241,data/processed/taxonomy_themes.json,themes.app_software.csat_impact,"mean(rating | app_software theme, rating_trusted) - corpus mean(rating | rating_trusted)",src/taxonomy.py:main (line 170)
noise_prevalence_pct,6.41%,data/processed/taxonomy_themes.json,themes.noise.friction_prevalence_pct,reviews with a negative-polarity sentence matching noise keywords / all reviews,"src/taxonomy.py:theme_hits (line 88), main (line 170)"
noise_csat_impact_full,-2.295,data/processed/taxonomy_themes.json,themes.noise.csat_impact,"mean(rating | noise theme, rating_trusted) - corpus mean(rating | rating_trusted)",src/taxonomy.py:main (line 170)
filter_cost_prevalence_pct,4.28%,data/processed/taxonomy_themes.json,themes.filter_cost.friction_prevalence_pct,reviews with a negative-polarity sentence matching filter_cost keywords / all reviews,"src/taxonomy.py:theme_hits (line 88), main (line 170)"
filter_cost_csat_impact_full,-2.255,data/processed/taxonomy_themes.json,themes.filter_cost.csat_impact,"mean(rating | filter_cost theme, rating_trusted) - corpus mean(rating | rating_trusted)",src/taxonomy.py:main (line 170)
sensor_trust_prevalence_pct,3.28%,data/processed/taxonomy_themes.json,themes.sensor_trust.friction_prevalence_pct,reviews with a negative-polarity sentence matching sensor_trust keywords / all reviews,"src/taxonomy.py:theme_hits (line 88), main (line 170)"
sensor_trust_csat_impact_full,-2.493,data/processed/taxonomy_themes.json,themes.sensor_trust.csat_impact,"mean(rating | sensor_trust theme, rating_trusted) - corpus mean(rating | rating_trusted)",src/taxonomy.py:main (line 170)
reliability_prevalence_pct,2.84%,data/processed/taxonomy_themes.json,themes.reliability.friction_prevalence_pct,reviews with a negative-polarity sentence matching reliability keywords / all reviews,"src/taxonomy.py:theme_hits (line 88), main (line 170)"
reliability_csat_impact_full,-2.414,data/processed/taxonomy_themes.json,themes.reliability.csat_impact,"mean(rating | reliability theme, rating_trusted) - corpus mean(rating | rating_trusted)",src/taxonomy.py:main (line 170)
corpus_mean_rating_trusted,3.932,data/processed/taxonomy_themes.json,corpus_mean_rating_trusted,"mean(rating) over rating_trusted==true rows, n=3,200",src/taxonomy.py:main (line 170)
hero_sku_5star_share_before_rounded,73.9%,data/processed/defect_detection_report.json,headline_metrics.before.pct_5_star_hero_sku,"round(73.89, 1)",src/detect_defects.py:headline_metrics (line 211)
hero_sku_5star_share_after_rounded,51.6%,data/processed/defect_detection_report.json,headline_metrics.after.pct_5_star_hero_sku,"round(51.57, 1)",src/detect_defects.py:headline_metrics (line 211)
hand_label_kappa_rounded,0.77,data/processed/taxonomy_themes.json,validation.cohens_kappa,"round(0.7674, 2)",src/taxonomy.py:cohens_kappa (line 162)
os1_financial_value_proxy_display,€97.3m,data/processed/decision_framework.json,scores.OS-1.financial_value_proxy_eur_m,"round(97.32, 1), currency-prefixed for slide display",src/decision_framework.py:financial_proxy (line 46)
os2_os3_prevalence_display,0.00%,data/processed/decision_framework.json,scores.OS-2.friction_prevalence_pct / scores.OS-3.friction_prevalence_pct,"0/3500, formatted to 2dp for the comparison table",src/decision_framework.py:keyword_prevalence (line 41)
filter_churn_rate_display,46.8%,data/processed/wtp_proxy.json,category_weighted.replacement_filter_churn_rate,"round(0.4677*100, 1)",src/willingness_to_pay.py:main (line 41)
third_party_attach_display,38.6%,data/processed/wtp_proxy.json,category_weighted.third_party_filter_attach_rate,"round(0.3857*100, 1)",src/willingness_to_pay.py:main (line 41)
revenue_at_risk_display,€64.98m,data/processed/wtp_proxy.json,category_weighted.total_annual_oem_revenue_at_risk_eur_m,currency-prefixed display of 64.98,src/willingness_to_pay.py:main (line 41)
connected_installed_base_display,"118,000",data/raw/aftermarket_signals.csv,"row product_sku=VS-AP-8000i, column installed_base_units_eu","none - raw cell value, comma-formatted",src/generate_aftermarket_signals.py:main (BASE dict)
q5_euromonitor_statista_delta_display,5.4pp,data/raw/market_metrics.json,conflict_summary.spread_pp,"11.2 - 5.8, restated as 'pp'",src/generate_market_metrics.py (synthetic fixture)
abandon_signal_threshold,15%,"deliverables/decision_framework.json (analyst judgement, not code output)",verdict.abandon_signal_os1 (free text),"none - a stated decision threshold for the first experiment, not a measured figure","src/decision_framework.py:main (line 46) - value is authored text, not computed"
abandon_signal_window_days,60,"deliverables/decision_framework.json (analyst judgement, not code output)",verdict.abandon_signal_os1 (free text),"none - a stated decision window, not a measured figure","src/decision_framework.py:main (line 46) - value is authored text, not computed"
matter_standard_version,1.4,data/raw/trend_corpus.json,articles[2].title (article_id=TC-003),none - version number as reported in the cited standards-body release,src/generate_trend_corpus.py (synthetic fixture) - not a computed figure
