review_id,product_sku,product_name,brand,marketplace,country,language,review_date,rating,review_title,review_text,verified_purchase,helpful_votes,reviewer_id,reviewer_review_count,source_ingested_at,rating_trusted,date_parseable,rating_trusted,date_parseable
CR-000018,CP-LV-C400S,Core 400S Smart,Levoit,versuni_dtc,EU,en,2024-09-04,5,Exactly what we needed,"It looks like a piece of furniture rather than an appliance, which sold my partner on it. Cooking smells from the kitchen are gone long before we finish eating.",true,4,RV0607491,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000019,VS-AP-4000i,Air Purifier 4000i Series,Philips,amazon_de,DE,de,2024-09-05,1,Filter costs are a scam,Will not hold a connection to my 2.4GHz network for more than a week at a time. Filters are expensive and only available from one supplier.,true,13,RV8947099,3,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000020,VS-AP-2000,Air Purifier 2000 Series,Philips,versuni_dtc,EU,en,2024-09-06,5,Worth it for allergy season,The PM2.5 readout drops from red to blue within about twenty minutes in our living room. Worth the money for the coverage it gives in an open plan space.,true,2,RV0709058,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000021,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,versuni_dtc,EU,en,2024-09-06,5,Very happy with it,The sensor is responsive enough that I mostly just leave it on auto and forget it. Our bedroom air feels noticeably lighter overnight and I wake up without a blocked nose.,true,1,RV0207199,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000022,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,amazon_de,DE,de,2024-09-06,5,Quiet and effective,Auto mode ramps up when I open a window and settles back down on its own. I like being able to check the air quality history for the past week from my phone. The PM2.5 readout drops from red to blue within about twenty minutes in our living room.,true,3,RV3793249,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000023,VS-AP-3000i,Air Purifier 3000i Series,Philips,amazon_uk,GB,en,2024-09-06,3,Does the job,"Good hardware, average software. The app paired on the first try and the scheduling actually works. Replacement filters cost almost half the price of the unit, which is absurd.",true,0,RV4760226,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000024,CP-BB-DM5440,DustMagnet 5440i,Blueair,amazon_uk,GB,en,2024-09-06,5,Excellent purifier,Build quality feels solid and the filter change is a thirty second job.,true,3,RV5789157,3,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000025,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,currys_uk,GB,en,2024-09-06,5,Worth it for allergy season,Setting up a night schedule in the app took under a minute.,true,0,RV3576486,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000026,VS-AP-2000,Air Purifier 2000 Series,Philips,versuni_dtc,EU,en,2024-09-06,5,Very happy with it,"Whisper quiet at the lower settings, which is all we need overnight.",true,0,RV1597521,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000027,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,mediamarkt_de,DE,de,2024-09-06,2,Loud and unreliable,"The app is slow, logs me out at random and lost all my schedules after an update. The device falls off the network after every router reboot and re-pairing is painful.",true,0,RV2937620,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000028,VS-AP-2000,Air Purifier 2000 Series,Philips,amazon_de,DE,de,2024-09-07,4,Quiet and effective,"Cheaper to run than I expected, the energy draw on auto is minimal. Setting up a night schedule in the app took under a minute.",true,0,RV8565321,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000029,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,versuni_dtc,EU,en,2024-09-07,5,Very happy with it,At speed one you genuinely cannot hear it from the bed. Build quality feels solid and the filter change is a thirty second job.,true,6,RV7244200,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000030,VS-AP-2000,Air Purifier 2000 Series,Philips,bol_nl,NL,nl,2024-09-07,3,"Fine, not exceptional","Works as described, though the manual is close to useless. Worth the money for the coverage it gives in an open plan space. The device falls off the network after every router reboot and re-pairing is painful.",true,3,RV0822826,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000031,VS-AP-2000,Air Purifier 2000 Series,Philips,amazon_de,DE,de,2024-09-07,2,Good hardware ruined by the app,The touch panel became unresponsive within weeks. App crashes on Android every time I open the air quality history.,false,0,RV2620545,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000032,VS-AP-4000i,Air Purifier 4000i Series,Philips,currys_uk,GB,en,2024-09-08,2,Terrible Wi-Fi disconnects,Stopped responding entirely after four months and had to be replaced under warranty. The filter life indicator reset itself and now demands a new filter every two months.,false,0,RV7311820,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000033,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,versuni_dtc,EU,en,2024-09-08,5,Excellent purifier,The sensor is responsive enough that I mostly just leave it on auto and forget it. At speed one you genuinely cannot hear it from the bed.,false,2,RV4825659,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000034,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,amazon_uk,GB,en,2024-09-08,4,Exactly what we needed,"Setting up a night schedule in the app took under a minute. Our bedroom air feels noticeably lighter overnight and I wake up without a blocked nose. Good hardware, average software.",true,12,RV4650205,5,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000035,VS-AP-2000,Air Purifier 2000 Series,Philips,amazon_nl,NL,nl,2024-09-08,4,Very happy with it,"Cheaper to run than I expected, the energy draw on auto is minimal. The sensor is responsive enough that I mostly just leave it on auto and forget it. Does the job. Nothing remarkable either way.",true,0,RV1932556,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000036,VS-AP-3000i,Air Purifier 3000i Series,Philips,mediamarkt_de,DE,de,2024-09-08,5,Big difference in the bedroom,"Auto mode ramps up when I open a window and settles back down on its own. Cheaper to run than I expected, the energy draw on auto is minimal.",false,1,RV4246951,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000037,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,coolblue_nl,NL,nl,2024-09-09,4,Very happy with it,"Cooking smells from the kitchen are gone long before we finish eating. The sensor is responsive enough that I mostly just leave it on auto and forget it. Fine for a medium sized room, would not push it much bigger than that.",true,5,RV2286743,8,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000038,VS-AP-8000i,Air Performer 8000i Series,Philips,amazon_fr,FR,fr,2024-09-09,5,Very happy with it,Setting up a night schedule in the app took under a minute. On sleep mode it is quieter than my old fan by a wide margin. The sensor is responsive enough that I mostly just leave it on auto and forget it.,true,0,RV0266745,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000039,VS-AP-8000i,Air Performer 8000i Series,Philips,amazon_uk,GB,en,2024-09-09,3,Does the job,Decent unit but the smart features are more of a novelty than a reason to buy. Worth the money for the coverage it gives in an open plan space. Firmware update bricked the app connection and support had no answer.,true,3,RV2289765,8,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000040,VS-AP-3000i,Air Purifier 3000i Series,Philips,bol_nl,NL,nl,2024-09-09,5,Very happy with it,The app paired on the first try and the scheduling actually works. The sensor is responsive enough that I mostly just leave it on auto and forget it.,true,2,RV8795304,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000041,VS-AP-3000i,Air Purifier 3000i Series,Philips,coolblue_nl,NL,nl,2024-09-09,5,Quiet and effective,The PM2.5 readout drops from red to blue within about twenty minutes in our living room.,true,2,RV0466715,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000042,CP-LV-C400S,Core 400S Smart,Levoit,versuni_dtc,EU,en,2024-09-09,5,Quiet and effective,At speed one you genuinely cannot hear it from the bed. Build quality feels solid and the filter change is a thirty second job.,true,5,RV5577036,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000043,CP-LV-C400S,Core 400S Smart,Levoit,versuni_dtc,EU,en,2024-09-10,5,Exactly what we needed,On sleep mode it is quieter than my old fan by a wide margin.,true,0,RV7399132,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000044,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,bol_nl,NL,nl,2024-09-10,5,Worth it for allergy season,Cooking smells from the kitchen are gone long before we finish eating. The app paired on the first try and the scheduling actually works.,true,4,RV8670767,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000045,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,versuni_dtc,EU,en,2024-09-10,5,Quiet and effective,"Worth the money for the coverage it gives in an open plan space. Compact footprint, does not dominate the room. On sleep mode it is quieter than my old fan by a wide margin.",false,0,RV1787171,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000046,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,fnac_fr,FR,fr,2024-09-10,4,Worth it for allergy season,"The PM2.5 readout drops from red to blue within about twenty minutes in our living room. Worth the money for the coverage it gives in an open plan space. Works as described, though the manual is close to useless.",true,1,RV7742336,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000047,CP-BB-DM5440,DustMagnet 5440i,Blueair,fnac_fr,FR,fr,2024-09-10,1,Loud and unreliable,"Replacement filters cost almost half the price of the unit, which is absurd. Sensor readings disagree completely with my standalone PM2.5 meter.",true,0,RV8811258,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000048,VS-AP-4000i,Air Purifier 4000i Series,Philips,bol_nl,NL,nl,2024-09-10,5,Worth it for allergy season,Our bedroom air feels noticeably lighter overnight and I wake up without a blocked nose. The app paired on the first try and the scheduling actually works. Worth the money for the coverage it gives in an open plan space.,true,2,RV5138133,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000049,CP-BB-DM5440,DustMagnet 5440i,Blueair,coolblue_nl,NL,nl,2024-09-11,5,Big difference in the bedroom,On sleep mode it is quieter than my old fan by a wide margin. Worth the money for the coverage it gives in an open plan space.,true,1,RV8135256,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000050,VS-AP-2000,Air Purifier 2000 Series,Philips,bol_nl,NL,nl,2024-09-11,5,Big difference in the bedroom,"Compact footprint, does not dominate the room. Whisper quiet at the lower settings, which is all we need overnight. Cheaper to run than I expected, the energy draw on auto is minimal.",true,1,RV8278068,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000051,VS-AP-2000,Air Purifier 2000 Series,Philips,versuni_dtc,EU,en,2024-09-11,5,Worth it for allergy season,Our bedroom air feels noticeably lighter overnight and I wake up without a blocked nose. Setting up a night schedule in the app took under a minute.,true,12,RV4465107,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000052,VS-AP-2000,Air Purifier 2000 Series,Philips,currys_uk,GB,en,2024-09-11,4,Quiet and effective,"Cheaper to run than I expected, the energy draw on auto is minimal. On sleep mode it is quieter than my old fan by a wide margin. I like being able to check the air quality history for the past week from my phone. Decent unit but the smart features are more of a novelty than a reason to buy.",true,0,RV0141411,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000053,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,coolblue_nl,NL,nl,2024-09-12,1,Good hardware ruined by the app,Sensor readings disagree completely with my standalone PM2.5 meter.,false,1,RV1031521,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000054,CP-LV-C400S,Core 400S Smart,Levoit,amazon_fr,FR,fr,2024-09-12,1,Disappointing smart features,It drops off the Wi-Fi every couple of days and needs a full re-pair. The touch panel became unresponsive within weeks.,true,2,RV2547580,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000055,CP-BB-DM5440,DustMagnet 5440i,Blueair,currys_uk,GB,en,2024-09-12,5,Exactly what we needed,"The app paired on the first try and the scheduling actually works. Cheaper to run than I expected, the energy draw on auto is minimal.",true,0,RV0035444,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000056,CP-LV-C400S,Core 400S Smart,Levoit,mediamarkt_de,DE,de,2024-09-13,5,Quiet and effective,Worth the money for the coverage it gives in an open plan space.,false,1,RV5423587,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000057,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,fnac_fr,FR,fr,2024-09-13,5,Very happy with it,Auto mode ramps up when I open a window and settles back down on its own. On sleep mode it is quieter than my old fan by a wide margin.,true,2,RV8491273,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000058,CP-BB-DM5440,DustMagnet 5440i,Blueair,versuni_dtc,EU,en,2024-09-13,3,"Fine, not exceptional","Does the job. Nothing remarkable either way. Cheaper to run than I expected, the energy draw on auto is minimal. The air quality sensor seems to read whatever it likes, it sat on red in an empty clean room.",true,1,RV0422152,8,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000059,VS-AP-8000i,Air Performer 8000i Series,Philips,coolblue_nl,NL,nl,2024-09-13,5,Worth it for allergy season,I like being able to check the air quality history for the past week from my phone. Build quality feels solid and the filter change is a thirty second job. At speed one you genuinely cannot hear it from the bed.,true,0,RV2298408,3,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000060,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,fnac_fr,FR,fr,2024-09-14,5,Big difference in the bedroom,"Auto mode ramps up when I open a window and settles back down on its own. I like being able to check the air quality history for the past week from my phone. It looks like a piece of furniture rather than an appliance, which sold my partner on it.",true,1,RV6887338,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000061,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,bol_nl,NL,nl,2024-09-15,4,Worth it for allergy season,Worth the money for the coverage it gives in an open plan space. The sensor is responsive enough that I mostly just leave it on auto and forget it.,true,1,RV5434942,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000062,VS-AP-3000i,Air Purifier 3000i Series,Philips,bol_nl,NL,nl,2024-09-15,4,Quiet and effective,"Compact footprint, does not dominate the room. Worth the money for the coverage it gives in an open plan space. Does the job. Nothing remarkable either way.",true,0,RV5252286,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000063,CP-BB-DM5440,DustMagnet 5440i,Blueair,versuni_dtc,EU,en,2024-09-15,1,Terrible Wi-Fi disconnects,"The app is slow, logs me out at random and lost all my schedules after an update. Stopped responding entirely after four months and had to be replaced under warranty.",true,1,RV6928321,3,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000064,VS-AP-3000i,Air Purifier 3000i Series,Philips,amazon_de,DE,de,2024-09-15,5,Exactly what we needed,Worth the money for the coverage it gives in an open plan space. Setting up a night schedule in the app took under a minute. Auto mode ramps up when I open a window and settles back down on its own.,true,5,RV8854537,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000065,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,currys_uk,GB,en,2024-09-15,5,Excellent purifier,Hay fever season was genuinely bearable this year for the first time. Worth the money for the coverage it gives in an open plan space.,true,8,RV0768425,3,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000066,CP-BB-DM5440,DustMagnet 5440i,Blueair,bol_nl,NL,nl,2024-09-16,4,Quiet and effective,"Cooking smells from the kitchen are gone long before we finish eating. It looks like a piece of furniture rather than an appliance, which sold my partner on it. The app paired on the first try and the scheduling actually works.",false,1,RV0764737,5,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000067,VS-AP-2000,Air Purifier 2000 Series,Philips,fnac_fr,FR,fr,2024-09-16,4,Big difference in the bedroom,"The app paired on the first try and the scheduling actually works. Auto mode ramps up when I open a window and settles back down on its own. Good hardware, average software.",true,0,RV3380012,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000068,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,currys_uk,GB,en,2024-09-17,5,Big difference in the bedroom,"It looks like a piece of furniture rather than an appliance, which sold my partner on it. Worth the money for the coverage it gives in an open plan space.",true,5,RV3226809,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000069,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,fnac_fr,FR,fr,2024-09-17,2,Good hardware ruined by the app,Sensor readings disagree completely with my standalone PM2.5 meter. Filters are expensive and only available from one supplier.,true,0,RV0317854,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000070,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,currys_uk,GB,en,2024-09-17,4,Very happy with it,"Cheaper to run than I expected, the energy draw on auto is minimal. I like being able to check the air quality history for the past week from my phone. At speed one you genuinely cannot hear it from the bed.",true,7,RV0584006,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000071,VS-AP-8000i,Air Performer 8000i Series,Philips,amazon_uk,GB,en,2024-09-17,5,Excellent purifier,"It looks like a piece of furniture rather than an appliance, which sold my partner on it.",true,0,RV8921739,8,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000072,VS-AP-8000i,Air Performer 8000i Series,Philips,currys_uk,GB,en,2024-09-17,5,Very happy with it,Hay fever season was genuinely bearable this year for the first time. On sleep mode it is quieter than my old fan by a wide margin.,true,9,RV4629793,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000073,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,coolblue_nl,NL,nl,2024-09-18,4,Excellent purifier,The sensor is responsive enough that I mostly just leave it on auto and forget it.,false,1,RV4671057,5,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000074,VS-AP-4000i,Air Purifier 4000i Series,Philips,fnac_fr,FR,fr,2024-09-18,5,Very happy with it,"Compact footprint, does not dominate the room.",true,9,RV4217488,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000075,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,currys_uk,GB,en,2024-09-18,5,Very happy with it,On sleep mode it is quieter than my old fan by a wide margin. The app paired on the first try and the scheduling actually works.,true,3,RV8804958,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000076,VS-AP-2000,Air Purifier 2000 Series,Philips,fnac_fr,FR,fr,2024-09-18,4,Excellent purifier,"Whisper quiet at the lower settings, which is all we need overnight. Auto mode ramps up when I open a window and settles back down on its own. Hay fever season was genuinely bearable this year for the first time.",true,14,RV1504226,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000077,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,amazon_uk,GB,en,2024-09-18,4,Exactly what we needed,Worth the money for the coverage it gives in an open plan space.,true,5,RV1795995,3,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000078,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,amazon_nl,NL,nl,2024-09-18,4,Excellent purifier,"Worth the money for the coverage it gives in an open plan space. Auto mode ramps up when I open a window and settles back down on its own. Fine for a medium sized room, would not push it much bigger than that.",true,2,RV1735087,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000079,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,mediamarkt_de,DE,de,2024-09-19,5,Very happy with it,"Cheaper to run than I expected, the energy draw on auto is minimal.",true,0,RV8307323,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000080,VS-AP-8000i,Air Performer 8000i Series,Philips,fnac_fr,FR,fr,2024-09-19,5,Big difference in the bedroom,The sensor is responsive enough that I mostly just leave it on auto and forget it. On sleep mode it is quieter than my old fan by a wide margin.,true,1,RV4674184,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000081,VS-AP-2000,Air Purifier 2000 Series,Philips,amazon_nl,NL,nl,2024-09-19,5,Quiet and effective,Worth the money for the coverage it gives in an open plan space. Auto mode ramps up when I open a window and settles back down on its own.,true,1,RV2891399,5,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000082,VS-AP-8000i,Air Performer 8000i Series,Philips,amazon_fr,FR,fr,2024-09-19,2,Filter costs are a scam,App crashes on Android every time I open the air quality history. Sensor readings disagree completely with my standalone PM2.5 meter.,true,0,RV4650379,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000083,VS-AP-4000i,Air Purifier 4000i Series,Philips,mediamarkt_de,DE,de,2024-09-19,4,Big difference in the bedroom,Cooking smells from the kitchen are gone long before we finish eating. The app paired on the first try and the scheduling actually works.,true,13,RV1221855,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000084,CP-BB-DM5440,DustMagnet 5440i,Blueair,amazon_de,DE,de,2024-09-19,3,Reasonable purchase,"Good hardware, average software.",true,1,RV5071416,3,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000085,VS-AP-3000i,Air Purifier 3000i Series,Philips,amazon_uk,GB,en,2024-09-20,4,Exactly what we needed,"Whisper quiet at the lower settings, which is all we need overnight. Cheaper to run than I expected, the energy draw on auto is minimal. Does the job. Nothing remarkable either way.",true,3,RV5052170,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000086,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,currys_uk,GB,en,2024-09-20,5,Excellent purifier,At speed one you genuinely cannot hear it from the bed.,false,0,RV3810527,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000087,VS-AP-2000,Air Purifier 2000 Series,Philips,amazon_nl,NL,nl,2024-09-20,1,Loud and unreliable,"The device falls off the network after every router reboot and re-pairing is painful. The app is slow, logs me out at random and lost all my schedules after an update.",true,4,RV3499465,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000088,VS-AP-2000,Air Purifier 2000 Series,Philips,amazon_fr,FR,fr,2024-09-20,4,Excellent purifier,"Our bedroom air feels noticeably lighter overnight and I wake up without a blocked nose. Compact footprint, does not dominate the room. Fine for a medium sized room, would not push it much bigger than that.",true,19,RV4352451,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000089,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,versuni_dtc,EU,en,2024-09-20,5,Worth it for allergy season,At speed one you genuinely cannot hear it from the bed. Hay fever season was genuinely bearable this year for the first time.,true,0,RV5253044,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000090,VS-AP-4000i,Air Purifier 4000i Series,Philips,versuni_dtc,EU,en,2024-09-21,5,Exactly what we needed,The sensor is responsive enough that I mostly just leave it on auto and forget it. On sleep mode it is quieter than my old fan by a wide margin.,true,2,RV6492571,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000091,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,bol_nl,NL,nl,2024-09-21,4,Big difference in the bedroom,Hay fever season was genuinely bearable this year for the first time. I like being able to check the air quality history for the past week from my phone. Auto mode ramps up when I open a window and settles back down on its own. Does the job. Nothing remarkable either way.,true,3,RV3419471,61,2026-08-26T09:00:00+02:00,true,true,true,true
